υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	τοκετός	C1	1043	ουσ.	
	τρομοκρατικός	C1	1043	επίθ.	
	υφιστάμενος	C1	1043	επίθ.	
	απαλλαγή	C1	1042	ουσ.	
	λάσπη	C1	1041	ουσ.	
	άλμπουμ	C1	1040	ουσ.	
	Απρίλιος	C1	1040	κ.ό.	
	μεταγενέστερος	C1	1039	επίθ.	
	αντλώ	C1	1038	ρ.	
	διαφοροποιώ	C1	1038	ρ.	
	καταρτίζω	C1	1038	ρ.	
	αυτοκινητόδρομος	C1	1037	ουσ.	
	επώνυμο	C1	1037	ουσ., επίθ.
	συναγερμός	C1	1037	ουσ.	
	αντιπροσωπευτικός	C1	1036	επίθ.	
	προκρίνω	C1	1035	ρ.	
	τεχνικά	C1	1035	επίρρ., επίθ.
	συμφέρω	C1	1035	ρ.	
	δουλεία	C1	1034	ουσ.	
	ενίοτε	C1	1034	επίρρ.	
	εμβόλιο	C1	1033	ουσ.	
	έμμεσος	C1	1033	επίθ.	
	μετανάστευση	C1	1032	ουσ.	
	φιλμ	C1	1032	ουσ.	
	πλούσια	C1	1031	επίρρ., επίθ.
	ευρεσιτεχνία	C1	1031	ουσ.	
	μεθοδολογία	C1	1031	ουσ.	
	χάρη	C1	1029	ουσ.	
	αποσκοπώ	C1	1029	ρ.	
	διηγούμαι	C1	1029	ρ.	
	καταπίνω	C1	1029	ρ.	
	σιγουριά	C1	1029	ουσ.	
	διακόσμηση	C1	1028	ουσ.	
	παρέκκλιση	C1	1027	ουσ.	
	αναχώρηση	C1	1027	ουσ.	
	εμπορία	C1	1027	ουσ.	
	υγειονομικός	C1	1027	επίθ.	
υγειονομικός	υγειονομική περίθαλψη			ονοματική φράση	
	κελί	C1	1026	ουσ.	
	φανάρι	C1	1026	ουσ.	
	αναπληρωτής	C1	1025	ουσ.	
	διεθνώς	C1	1025	επίρρ.	
	κατσαρόλα	C1	1025	ουσ.	
	συνεργείο	C1	1025	ουσ.	
	άνθρωπος	C1	1024	ουσ.	
	απότομα	C1	1024	επίρρ.	
	κομμουνιστής	C1	1024	ουσ.	
	χαλάρωση	C1	1024	ουσ.	
	σκηνοθετώ	C1	1023	ρ.	
	δείπνο	C1	1023	ουσ.	
	διαφεύγω	C1	1023	ρ.	
	εκπαιδευτής	C1	1023	ουσ.	
	κατάγομαι	C1	1023	ρ.	
	κληρικός	C1	1023	επίθ., ουσ.
	συντριπτικός	C1	1023	επίθ.	
	γκρίζος	C1	1022	επίθ.	
	δημιούργημα	C1	1022	ουσ.	
	χειμώνας	C1	1022	κ.ό.
	ωριμάζω	C1	1022	ρ.	
	διαγραφή	C1	1021	ουσ.	
	παραίτηση	C1	1021	ουσ.	
	συνέρχομαι	C1	1021	ρ.	
	απομάκρυνση	C1	1020	ουσ.	
	λεκάνη	C1	1020	ουσ.	
	απολύω	C1	1019	ρ.	
	γαλαξίας	C1	1019	ουσ.	
	αναστολή	C1	1018	ουσ.	
	πολυτελής	C1	1018	επίθ.	
	ταξινόμηση	C1	1017	ουσ.	
	ύφεση	C1	1016	ουσ.	
	μάταιος	C1	1016	επίθ.	
	μεταφυσική	C1	1016	ουσ., επίθ.
	βελτιστοποίηση	C1	1015	ουσ.	
	εξήντα	C1	1014	απόλ., αριθ.
	τρένο	C1	1014	ουσ.	
	μεσολαβώ	C1	1013	ρ.	
	αφελής	C1	1013	επίθ.	
	βωμός	C1	1013	ουσ.	
	δικαιολογητικός	C1	1013	επίθ.	
	ελεγκτής	C1	1013	ουσ.	
	σπορ	C1	1013	ουσ.	
	σύμφωνος	C1	1013	επίθ., ουσ.
	αδιαφορώ	C1	1012	ρ.	
	κυκλικός	C1	1012	επίθ.	
	φυλετικός	C1	1012	επίθ.	
	παραλείπω	C1	1011	ρ.	
	πλήκτρο	C1	1011	ουσ.	
	κοτόπουλο	C1	1010	ουσ.	
	μπουζούκι	C1	1010	ουσ.	
	πόρισμα	C1	1010	ουσ.	
	περικοπή	C1	1008	ουσ.	
	κύρωση	C1	1008	ουσ.	
	προκλητικός	C1	1008	επίθ.	
	φλιτζάνι	C1	1008	ουσ.	
	αετός	C1	1007	ουσ.	
	νηστεία	C1	1007	ουσ.	
	κρύος	C1	1006	επίθ., ουσ.
	χωριστός	C1	1006	επίθ.	
	βιολί	C1	1005	ουσ.	
	τουαλέτα	C1	1005	ουσ.	
	τρομακτικός	C1	1005	επίθ.	
	αναπνευστικός	C1	1004	επίθ.	
	εμπειρικός	C1	1004	επίθ.	
	ενάντιος	C1	1004	επίθ.	
	εύλογος	C1	1004	επίθ.	
	εδαφικός	C1	1003	επίθ.	
	διδακτορικός	C1	1003	επίθ.	
	εχθρικός	C1	1003	επίθ.	
	σύμφωνο	C1	1002	ουσ., επίθ.
	τερματίζω	C1	1002	ρ.	
	φιλοδοξία	C1	1002	ουσ.	
	επίτροπος	C1	1001	ουσ.	
	μοναχικός	C1	1001	επίθ.	
	λεξιλόγιο	C1	1000	ουσ.	
	διαβεβαίωση	C1	999	ουσ.	
	δολοφονώ	C1	999	ρ.	
	εντατικός	C1	999	επίθ.	
	επέρχομαι	C1	999	ρ.	
	σετ	C1	999	ουσ.	
	ταράζω	C1	999	ρ.	
	υπεροχή	C1	999	ουσ.	
	τζάμι	C1	998	ουσ.	
	τροχαίος	C1	998	επίθ., ουσ.
	βρύση	C1	997	ουσ.	
	επεμβαίνω	C1	997	ρ.	
	προφητεία	C1	996	ουσ.	
	συνεισφορά	C1	996	ουσ.	
	ακαθάριστος	C1	995	επίθ.	
	μαχητικός	C1	995	επίθ.	
	εξάπλωση	C1	994	ουσ.	
	κλειδώνω	C1	994	ρ.	
	προειδοποίηση	C1	994	ουσ.	
	προκατάληψη	C1	994	ουσ.	
	βλάστηση	C1	993	ουσ.	
	απεριόριστος	C1	992	επίθ.	
	οίνος	C1	991	ουσ.	
	ουράνιος	C1	991	επίθ.	
	παραδοσιακά	C1	990	επίρρ., επίθ.
	ανιχνευτής	C1	990	ουσ.	
	εξάγω	C1	990	ρ.	
	καταπιέζω	C1	990	ρ.	
	βυθός	C1	989	ουσ.	
	ευχαριστία	C1	989	ουσ.	
	ζυγός	C1	989	ουσ.	
	ισόγειος	C1	989	επίθ.	
	αξεσουάρ	C1	988	ουσ.	
	ανεπιθύμητος	C1	987	επίθ.	
	ράδιο	C1	987	ουσ.	
	σκόρδο	C1	987	ουσ.	
	διαστημικός	C1	986	επίθ.	
	επιταχύνω	C1	986	ρ.	
	πιστοποίηση	C1	986	ουσ.	
	πλευρό	C1	986	ουσ.	
	πρόθυμος	C1	984	επίθ.	
	υποταγή	C1	984	ουσ.	
	τεκμήριο	C1	983	ουσ.	
	διευκρίνιση	C1	982	ουσ.	
	προπονώ	C1	982	ρ.	
	βεράντα	C1	982	ουσ.	
	διπλωματία	C1	981	ουσ.	
	πρεσβευτής	C1	981	ουσ.	
	αμέτρητος	C1	981	επίθ.	
	βρώμικος	C1	981	επίθ.	
	αποδυτήριο	C1	980	ουσ.	
	μείγμα	C1	980	ουσ.	
	συνεδρία	C1	980	ουσ.	
	συνοχή	C1	980	ουσ.	
	ωκεανός	C1	980	ουσ.	
	αναπνέω	C1	979	ρ.	
	αγαθά	C1	978	επίρρ., ουσ.
	προσβλητικός	C1	978	επίθ.	
	άδικο	C1	977	ουσ.	
	αυθαίρετος	C1	976	επίθ.	
	ευνοϊκός	C1	976	επίθ.	
	ευρέως	C1	975	επίρρ.	
	μασάω, μασώ	C1	975	ρ.	
	συνεχόμενος	C1	974	επίθ.	
	θεωρητικά	C1	973	επίρρ., επίθ.
	αποκρούω	C1	972	ρ.	
	ευλογία	C1	972	ουσ.	
	μέλισσα	C1	972	ουσ.	
	πωλητής	C1	972	ουσ.	
	φημίζομαι	C1	972	ρ.	
	λεμόνι	C1	971	ουσ.	
	μυϊκός	C1	971	επίθ.	
	βάφω	C1	970	ρ.	
	χειρόγραφο	C1	970	ουσ., επίθ.
	επιλύνω	C1	969	ρ.	
	διαβεβαιώνω	C1	969	ρ.	
	ενσωμάτωση	C1	969	ουσ.	
	ομογενής	C1	969	επίθ.	
	αμπέλι	C1	968	ουσ.	
	αντλία	C1	968	ουσ.	
	μολονότι	C1	968	υποτ., σύνδ.
	πηγάζω	C1	968	ρ.	
	επίθετο	C1	967	ουσ.	
	κλάση	C1	967	ουσ.	
	δυστύχημα	C1	966	ουσ.	
	εκμάθηση	C1	966	ουσ.	
	εκδίκηση	C1	964	ουσ.	
	αναπόφευκτος	C1	963	επίθ.	
	Ιανουάριος	C1	963	κ.ό.
	ξαναγυρίζω	C1	963	ρ.	
	φαντάρος	C1	963	ουσ.	
	αποκρίνομαι	C1	962	ρ.	
	Δεκέμβριος	C1	962	ουσ., επίθ.
	εξώφυλλο	C1	962	ουσ.	
	ηρωικός	C1	962	επίθ.	
	παραπομπή	C1	962	ουσ.	
	ενδεικτικά	C1	961	επίρρ., επίθ.
	στούντιο	C1	961	ουσ.	
	τάγμα	C1	961	ουσ.	
	αξίωση	C1	960	ουσ.	
	μαγειρικός	C1	959	επίθ.	
	πίτα	C1	959	ουσ.	
	συμβιβασμός	C1	959	ουσ.	
	επιτάχυνση	C1	958	ουσ.	
	έκτοτε	C1	958	επίρρ.	
	επιχορήγηση	C1	958	ουσ.	
	σύμπλεγμα	C1	958	ουσ.	
	φύλακας	C1	958	ουσ.	
	κοινωνιολογία	C1	957	ουσ.	
	πλατφόρμα	C1	957	ουσ.	
	φυλλάδιο	C1	957	ουσ.	
	ανασφάλεια	C1	956	ουσ.	
	κλάμα	C1	956	ουσ.	
	ριζικός	C1	955	επίθ.	
	Σάββατο	C1	955	ουσ.	
	ενασχόληση	C1	954	ουσ.	
	σπαθί	C1	954	ουσ.	
	αλουμίνιο	C1	953	ουσ.	
	αφίσα	C1	953	ουσ.	
	εξοχή	C1	953	ουσ.	
	χαλκός	C1	950	ουσ.	
	βάρκα	C1	949	ουσ.	
	μετάλλιο	C1	948	ουσ.	
	φυσάω, φυσώ	C1	948	ρ.	
	δέρνω	C1	947	ρ.	
	οικοσύστημα	C1	947	ουσ.	
	φλέβα	C1	947	ουσ.	
	μεταβίβαση	C1	946	ουσ.	
	συμπίπτω	C1	946	ρ.	
	τηλεπικοινωνιακός	C1	945	επίθ.	
	αποχώρηση	C1	945	ουσ.	
	ξερός	C1	945	επίθ.	
	περίπλοκος	C1	945	επίθ.	
	λαβή	C1	944	ουσ.	
	ανιχνεύω	C1	943	ρ.	
	ζωντανά	C1	943	επίρρ.	
	νόμιμα	C1	943	ουσ., επίρρ., επίθ.
	συγκυρία	C1	943	ουσ.	
	χορεύτρια	C1	943	ουσ.	
	απορρόφηση	C1	942	ουσ.	
	γεωμετρία	C1	942	ουσ.	
	κατηγορούμενος	C1	942	επίθ., μτχ., ουσ.
	λαγός	C1	942	ουσ.	
	παραλαβή	C1	942	ουσ.	
	φρικτός, φριχτός	C1	942	επίθ.	
	ερυθρός	C1	941	επίθ.	
	φυλακίζω	C1	941	ρ.	
	χαρά	C1	941	ουσ.	
	ακριβά	C1	940	επίρρ., επίθ.
	λογικά	C1	940	επίρρ., επίθ.
	βενζίνη	C1	940	ουσ.	
	δράκος	C1	940	ουσ.	
	Ελληνίδα	C1	940	κ.ό.
	διαβίωση	C1	939	ουσ.	
	πηγάδι	C1	939	ουσ.	
	πυκνότητα	C1	939	ουσ.	
	φορολογία	C1	939	ουσ.	
	ό,τι	C1	938	αντων.	
	συναρπαστικός	C1	938	επίθ.	
	ψαράς	C1	938	ουσ.	
	διέξοδος	C1	937	ουσ.	
	κούραση	C1	937	ουσ.	
	ορμή	C1	937	ουσ.	
	πονοκέφαλος	C1	937	ουσ.	
	ορθά	C1	936	επίρρ., επίθ., ουσ.
	άδικα	C1	936	επίρρ., ουσ.
	φωλιά	C1	936	ουσ.	
	αίρεση	C1	935	ουσ.	
	εξωγήινος	C1	935	επίθ., ουσ.
	επενδυτικός	C1	935	επίθ.	
	επεξεργαστής	C1	935	ουσ.	
	ιμπεριαλισμός	C1	935	ουσ.	
	κατεστημένο	C1	935	ουσ.	
	κράζω	C1	935	ρ.	
	οροφή	C1	935	ουσ.	
	πεινάω, πεινώ	C1	935	ρ.	
	διάβασμα	C1	933	ουσ.	
	κοιλάδα	C1	933	ουσ.	
	φυτεύω	C1	933	ρ.	
	σαλάτα	C1	932	ουσ.	
	συντροφιά	C1	932	ουσ.	
	υπέρβαση	C1	932	ουσ.	
	αλληλογραφία	C1	931	ουσ.	
	ζωικός	C1	931	επίθ.	
	ενδεχόμενος	C1	930	επίθ., μτχ.
	κινούμενος	C1	930	επίθ., μτχ.
	μεσαίωνας	C1	930	κ.ό.
	ναυτικό	C1	930	ουσ., επίθ.
	υπουργικός	C1	930	επίθ.	
υπουργικός	υπουργικό συμβούλιο			ονοματική φράση
	φανέλα	C1	929	ουσ.	
	επικοινωνιακός	C1	929	επίθ.	
	πολυτέλεια	C1	929	ουσ.	
	συνοψίζω	C1	928	ρ.	
	απουσιάζω	C1	927	ρ.	
	πνοή	C1	927	ουσ.	
	ενοίκιο	C1	926	ουσ.	
	ισπανικός	C1	926	επίθ.	
	πρωτοπόρος	C1	926	επίθ.	
	βέλος	C1	925	ουσ.	
	σταυρώνω	C1	925	ρ.	
	ευχέρεια	C1	924	ουσ.	
	ηχώ	C1	924	ρ., ουσ., ρ.
	αγαπημένος	C1	923	ουσ., μτχ., ουσ.
	ευελιξία	C1	923	ουσ.	
	εξάσκηση	C1	923	ουσ.	
	Ιούνιος	C1	923	κ.ό.
	καλωσορίζω	C1	923	ρ.	
	περίεργα	C1	923	επίρρ., επίθ.
	πυροβολώ	C1	923	ρ.	
	εγκληματικός	C1	922	επίθ.	
	θεμελιώνω	C1	922	ρ.	
	τυπικά	C1	922	επίρρ., επίθ.
	απονέμω	C1	921	ρ.	
	σχολιασμός	C1	921	ουσ.	
	αντιπαραθέτω	C1	920	ρ.	
	αποφασιστικός	C1	920	επίθ.	
	σύσκεψη	C1	920	ουσ.	
	επενδυτής	C1	919	ουσ.	
	Ιούλιος	C1	918	κ.ό.
	παρεξήγηση	C1	918	ουσ.	
	πολυάριθμος	C1	918	επίθ.	
	ταύρος	C1	918	ουσ.	
	τρυπώ	C1	918	ρ.	
	νοικοκυριό	C1	917	ουσ.	
	αντιγραφή	C1	917	ουσ.	
	έλξη	C1	917	ουσ.	
	τρομοκράτης	C1	917	ουσ.	
	ενεργοποίηση	C1	916	ουσ.	
	μικρόβιο	C1	916	ουσ.	
	παραπέρα	C1	916	επίρρ.	
	κενός	C1	915	επίθ.	
κενός	κενή θέση			ονοματική φράση	
	κεραυνός	C1	915	ουσ.	
	μετάνοια	C1	915	ουσ.	
	φάντασμα	C1	915	ουσ.	
	εκτοξεύω	C1	914	ρ.	
	γήινος	C1	914	επίθ.	
	δυστυχία	C1	914	ουσ.	
	έλαιο	C1	914	ουσ.	
	επίκεντρο	C1	913	ουσ.	
	ιδανικά	C1	913	επίρρ., επίθ., ουσ.
	αγοραστής	C1	912	ουσ., επίθ.
	άρθρωση	C1	912	ουσ.	
	εισφορά	C1	912	ουσ.	
	σκεπτικό	C1	912	ουσ.	
	σφραγίζω	C1	912	ρ.	
	τροφοδοτώ	C1	912	ρ.	
	δέκτης	C1	911	ουσ.	
	ουσιώδης	C1	911	επίθ., ουσ.
	περιέργεια	C1	911	ουσ.	
	χρήμα	C1	911	ουσ.	
	αλλοιώνω	C1	910	ρ.	
	ναυτιλία	C1	910	ουσ.	
	προσπερνάω, προσπερνώ	C1	910	ρ.	
	αναθεωρώ	C1	909	ρ.	
	ελικόπτερο	C1	909	ουσ.	
	πολλαπλασιάζω	C1	909	ρ.	
	προσδίδω	C1	909	ρ.	
	κωμωδία	C1	908	ουσ.	
	παραχώρηση	C1	908	ουσ.	
	τρέλα	C1	908	ουσ.	
	προλεταριάτο	C1	907	ουσ.	
	ξημερώματα	C1	906	επίρρ.	
	περιοδικά	C1	906	επίρρ., επίθ.
	έγχρωμος	C1	906	επίθ.	
	είδωλο	C1	906	ουσ.	
	εξουσιοδότηση	C1	905	ουσ.	
	ανασκαφή	C1	905	ουσ.	
	επιβαρύνω	C1	904	ρ.	
	στίγμα	C1	904	ουσ.	
	φασιστικός	C1	904	επίθ.	
	θηρίο	C1	903	ουσ.	
	αισιόδοξος	C1	902	επίθ., ουσ.
	αντιμέτωπος	C1	902	επίθ.	
	κρυώνω	C1	902	ρ.	
	νεκροταφείο	C1	902	ουσ.	
	ανιψιός, ανηψιός	C1	901	ουσ.	
	αλλεπάλληλος	C1	900	επίθ.	
	διάδοχος	C1	900	ουσ., επίθ.
	τρίγωνο	C1	900	ουσ.	
	υποτιθέμενος	C1	900	επίθ.	
	εισοδηματικός	C1	899	επίθ.	
	επαρκώ	C1	899	ρ.	
	ερασιτέχνης	C1	899	ουσ.	
	κολυμπάω, κολυμπώ	C1	899	ρ.	
	εξεύρεση	C1	898	ουσ.	
	λανθάνω	C1	898	ρ.	
	γυμναστήριο	C1	898	ουσ.	
	δαχτυλίδι	C1	898	ουσ.	
	ενοχλητικός	C1	898	επίθ.	
	χειρονομία	C1	897	ουσ.	
	λωρίδα	C1	897	ουσ.	
	ολοκαύτωμα	C1	897	ουσ.	
	εσωτερικά	C1	896	επίρρ., επίθ.
	ανταλλακτικό	C1	895	ουσ., επίθ.
	μεμονωμένος	C1	895	επίθ.	
	τοξικός	C1	895	επίθ.	
	αρμονικός	C1	894	επίθ.	
	εκρηκτικός	C1	894	επίθ.	
	επίμονος	C1	894	επίθ.	
	περιστροφή	C1	894	ουσ.	
	χορωδία	C1	893	ουσ.	
	αγελάδα	C1	892	ουσ.	
	ενήλικος	C1	892	ουσ., επίθ.
	ασημένιος	C1	891	επίθ.	
	υψόμετρο	C1	891	ουσ.	
	επιθεωρητής	C1	890	ουσ.	
	ξεκουράζω	C1	890	ρ.	
	διαφημίζω	C1	889	ρ.	
	πρόδρομος	C1	889	ουσ.	
	τιμητικός	C1	889	επίθ.	
	δίλημμα	C1	888	ουσ.	
	παραπονιέμαι, παραπονούμαι	C1	888	ρ.	
	πτυχιούχος	C1	888	ουσ.	
	υποψία	C1	888	ουσ.	
	χάλκινος	C1	888	επίθ.	
	αδίκημα	C1	887	ουσ.	
	επικυρώνω	C1	887	ρ.	
	καλύβα	C1	887	ουσ.	
	σταφύλι	C1	887	ουσ.	
	βελόνα	C1	886	ουσ.	
	διάσκεψη	C1	886	ουσ.	
	υποψιάζομαι	C1	886	ρ.	
	συνομιλητής	C1	885	ουσ.	
	συνταξιοδότηση	C1	885	ουσ.	
	θερινός	C1	884	επίθ.	
	υποτιμώ	C1	884	ρ.	
	ποτίζω	C1	883	ρ.	
	συμβατός	C1	883	επίθ.	
	σύμπτωση	C1	883	ουσ.	
	αλλοίωση	C1	882	ουσ.	
	απόλυση	C1	882	ουσ.	
	εμπορεύομαι	C1	882	ρ.	
	ηλεκτρομαγνητικός	C1	882	επίθ.	
	ελαττώνω	C1	881	ρ.	
	εξαλείφω	C1	881	ρ.	
	κάμποσος	C1	881	αντων., επίθ.
	κριτής	C1	881	ουσ.	
	συμπεραίνω	C1	881	ρ.	
	απρόβλεπτος	C1	880	επίθ.	
	ανέγερση	C1	880	ουσ.	
	ανεξέλεγκτος	C1	880	επίθ.	
	αποχή	C1	880	ουσ.	
	γερνάω, γερνώ	C1	880	ρ.	
	αγιάζω	C1	879	ρ.	
	κατασκευαστικός	C1	879	επίθ.	
	κατάχρηση	C1	879	ουσ.	
	ομιλώ	C1	879	ρ.	
	παράγωγος	C1	879	επίθ.	
	στάθμη	C1	879	ουσ.	
	έγκυος	C1	878	ουσ., επίθ.
	ψιλός	C1	878	επίθ.	
	ακύρωση	C1	877	ουσ.	
	αναλυτής	C1	877	ουσ., επίθ.
	ελκυστικός	C1	877	επίθ.	
	σκόπιμος	C1	877	επίθ.	
	επιβεβαίωση	C1	876	ουσ.	
	υποψηφιότητα	C1	876	ουσ.	
	χαμός	C1	876	ουσ.	
	ερωτηματικός	C1	875	επίθ.	
	δρομολόγιο	C1	875	ουσ.	
	θερμικός	C1	874	επίθ.	
	αιχμή	C1	873	ουσ.	
	γυρεύω	C1	873	ρ.	
	πολιτισμένος	C1	873	επίθ.	
	προστατευτικός	C1	873	επίθ.	
	εισβάλλω	C1	872	ρ.	
	οικοδομώ	C1	872	ρ.	
	άσθμα	C1	870	ουσ.	
	επαρχιακός	C1	869	επίθ.	
	πάγιος	C1	869	επίθ.	
	σοκ	C1	868	ουσ.	
	γαλήνη	C1	867	ουσ.	
	εκτυπωτής	C1	867	ουσ.	
	Ελβετία	C1	867	κ.ό.	
	ένδοξος	C1	867	επίθ.	
	ομολογία	C1	867	ουσ.	
	επίγνωση	C1	866	ουσ.	
	κατάρα	C1	866	ουσ., επιφ.
	νύχι	C1	866	ουσ.	
	χρόνος	C1	866	ουσ.	
	παρατάσσω	C1	865	ρ.	
	αντίστροφος	C1	865	επίθ.	
	ρατσιστικός	C1	865	επίθ.	
	χέρι	C1	865	ουσ.	
	βασιλεύω	C1	864	ρ.	
	εμπλοκή	C1	864	ουσ.	
	μίλι	C1	864	ουσ.	
	προέκταση	C1	864	ουσ.	
	θρήσκευμα	C1	863	ουσ.	
	υποβαθμίζω	C1	863	ρ.	
	χημεία	C1	863	ουσ.	
	υπαγορεύω	C1	862	ρ.	
	επισήμανση	C1	862	ουσ.	
	αριθμητικός	C1	861	επίθ.	
	δυτικά	C1	861	επίρρ., επίθ.
	προαναφερθείς	C1	861	επίθ.	
	φρούριο	C1	861	ουσ.	
	ανάκαμψη	C1	860	ουσ.	
	ιδιωτικοποιώ	C1	860	ρ.	
	έκκληση	C1	860	ουσ.	
	υπακούω	C1	860	ρ.	
	ανάγλυφος	C1	859	επίθ.	
	διαχρονικός	C1	859	επίθ.	
	θρεπτικός	C1	859	επίθ.	
	προσελκύω	C1	859	ρ.	
	πρωταθλήτρια	C1	858	ουσ.	
	διακηρύσσω	C1	858	ρ.	
	ψυχικός	C1	858	επίθ.	
	διώκω	C1	857	ρ.	
	κιβώτιο	C1	857	ουσ.	
	ροζ	C1	857	επίθ.	
	ψεύδομαι	C1	857	ρ.	
	αντίκα	C1	856	ουσ.	
	τετράγωνος	C1	856	επίθ.	
	απόχρωση	C1	856	ουσ.	
	υποκείμενο	C1	855	ουσ.	
	σχοινί	C1	854	ουσ.	
	ταχυδρομικός	C1	854	επίθ.	
	εξαπολύω	C1	853	ρ.	
	προκαταρκτικός	C1	853	επίθ.	
	άκυρος	C1	853	επίθ.	
	αυτονόητος	C1	853	επίθ.	
	ολοκληρωτικός	C1	853	επίθ.	
	προσκυνώ	C1	853	ρ.	
	συντρίβω	C1	853	ρ.	
	ανακύκλωση	C1	852	ουσ.	
	φασισμός	C1	852	ουσ.	
	διαψεύδω	C1	851	ρ.	
	περιήγηση	C1	851	ουσ.	
	ανακούφιση	C1	850	ουσ.	
	αρωματικός	C1	850	επίθ.	
	κρούσμα	C1	850	ουσ.	
	φορητός	C1	850	επίθ., ουσ.
φορητός	φορητός υπολογιστής			ονοματική φράση
	κομμουνισμός	C1	849	ουσ.	
	μεθαύριο	C1	848	επίρρ.	
	άρτιος	C1	848	επίθ.	
	αρχαιολόγος	C1	848	ουσ.	
	στάχτη	C1	848	ουσ.	
	στραβά	C1	847	επίρρ., επίθ.
	Κροάτης	C1	846	κ.ό.
	ανεπαρκής	C1	846	επίθ.	
	πρωτοφανής	C1	846	επίθ.	
	αισθητικός	C1	845	επίθ., ουσ.
	σατανάς	C1	845	ουσ.	
	δικαιολογητικά	C1	844	επίρρ.	
	αιχμάλωτος	C1	844	επίθ.	
	δράστης	C1	844	ουσ.	
	εγκαίνια	C1	844	ουσ.	
	ομοσπονδιακός	C1	844	επίθ.	
	υποκρισία	C1	844	ουσ.	
	βάσανο	C1	843	ουσ.	
	δευτερεύων	C1	842	επίθ.	
	θαυμασμός	C1	842	ουσ.	
	ανίχνευση	C1	841	ουσ.	
	βιώσιμος	C1	841	επίθ.	
	επιμονή	C1	841	ουσ.	
	ζώδιο	C1	841	ουσ.	
	παρακμή	C1	841	ουσ.	
	εναρμονίζω	C1	840	ρ.	
	ψυχρός	C1	840	επίθ.	
	φτύνω	C1	840	ρ.	
	καιρικός	C1	839	επίθ.	
	κλέφτης	C1	839	ουσ.	
	κρυφά	C1	839	επίρρ., επίθ.
	παλάμη	C1	839	ουσ.	
	υπονοώ	C1	839	ρ.	
	ανάπηρος	C1	838	επίθ., ουσ.
	διορισμός	C1	838	ουσ.	
	επιτυχημένος	C1	838	επίθ., μτχ.
	ιμπεριαλιστικός	C1	838	επίθ.	
	συγκριτικός	C1	838	επίθ., ουσ.
	κρανίο	C1	837	ουσ.	
	προσιτός	C1	837	επίθ.	
	προβάδισμα	C1	836	ουσ.	
	γραφειοκρατία	C1	836	ουσ.	
	περσινός	C1	836	επίθ.	
	φωτογραφίζω	C1	836	ρ.	
	δημοσιογραφία	C1	835	ουσ.	
	διανέμω	C1	835	ρ.	
	διανοούμενος	C1	835	ουσ., μτχ.
	κλιματισμός	C1	835	ουσ.	
	ταξί	C1	835	ουσ.	
	πειστικός	C1	834	επίθ.	
	πυραμίδα	C1	834	ουσ.	
	αιτιολογώ	C1	833	ρ.	
	πρώτιστα	C1	833	επίρρ., επίθ.
	φυσιογνωμία	C1	833	ουσ.	
	καπετάνιος	C1	833	ουσ.	
	ορφανός	C1	831	επίθ.	
	κοινοποίηση	C1	830	ουσ.	
	κούπα	C1	829	ουσ.	
	παλμός	C1	829	ουσ.	
	συμπάθεια	C1	829	ουσ.	
	δεκαπέντε	C1	828	απόλ., αριθ.
	επιδρομή	C1	828	ουσ.	
	ζημία	C1	828	ουσ.	
	ανάποδα	C1	827	επίρρ., επίθ.
	αξιοπρεπής	C1	827	επίθ.	
	καπνιστής	C1	827	ουσ., επίθ.
	μικρόφωνο	C1	827	ουσ.	
	παντελόνι	C1	827	ουσ.	
	υπόβαθρο	C1	827	ουσ.	
	ψυχαγωγικός	C1	827	επίθ.	
	απόκλιση	C1	826	ουσ.	
	τεντώνω	C1	826	ρ.	
	μεταπτυχιακά	C1	825	ουσ.	
	φιλοδοξώ	C1	825	ρ.	
	ακατάλληλος	C1	825	επίθ.	
	αλφάβητο	C1	825	ουσ.	
	ατμοσφαιρικός	C1	825	επίθ.	
	βλάκας	C1	825	ουσ.	
	διαιρώ	C1	825	ρ.	
	ανάμεσα	C1	824	επίρρ.	
	αντάρτης	C1	824	ουσ.	
	βιβλιοπωλείο	C1	824	ουσ.	
	γόνιμος	C1	824	επίθ.	
	ιδρώτας	C1	824	ουσ.	
	ισοπαλία	C1	824	ουσ.	
	πορτοκαλής -ιά -ί	C1	824	επίθ.	
	σωτήριος	C1	824	ουσ.	
	αφέντης	C1	823	ουσ.	
	βαμβάκι	C1	823	ουσ.	
	ακέραιος	C1	822	επίθ.	
	καταναλωτικός	C1	822	επίθ.	
	ακρόαση	C1	821	ουσ.	
	αναπτυσσόμενος -η -ο	C1	821	επίθ.	
αναπτυσσόμενος	αναπτυσσόμενη χώρα			ονοματική φράση	
	διανύω	C1	821	ρ.	
	πρωτοποριακός	C1	821	επίθ.	
	δοξάζω	C1	820	ρ.	
	ηθικά	C1	820	επίρρ.	
	νομιμοποιώ	C1	820	ρ.	
	φουσκώνω	C1	820	ρ.	
	υιοθέτηση	C1	819	ουσ.	
	γενέθλια	C1	819	ουσ.	
	κλήρωση	C1	819	ουσ.	
	στεφάνι	C1	819	ουσ.	
	πάγια	C1	818	επίρρ.	
	βαραίνω	C1	818	ρ.	
	διατροφικός	C1	818	επίθ.	
	σκελετός	C1	818	ουσ., επίθ.
	τσάντα	C1	818	ουσ.	
